name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
B T Mastanappa,Guntakal,2001,,Y T Cheruvu,,,,,TDP,,MPTC
J Jithendra Gowd,Guntakal,2001,,Nakkanadoddi,,,,,TDP,,MPTC President
Gorava Pedda Mallesu,Guntakal,2001,,Gurrampadu,,,,,INC,,MPTC
Thota Lakshmi Devi,Guntakal,2001,,Gundala,,,,,TDP,,MPTC
B Sarala,Guntakal,2001,,G Kottala,,,,,TDP,,MPTC
K Naga Raju,Guntakal,2001,,P K Cheruvu,,,,,TDP,,MPTC
G Adi Narayana,Guntakal,2001,,Nagasamudram,,,,,INC,,MPTC
G Krishtanna,Guntakal,2001,,Ayyavaripalli,,,,,TDP,,MPTC
Parvathamma,Hindupur,2001,,Kirikera  1,,,,,INC,,MPTC
Thippanna,Hindupur,2001,,Chalivendla,,,,,TDP,,MPTC
B B Narsimhappa,Hindupur,2001,,Gollapuram,,,,,BJP,,MPTC
Sarojamma,Hindupur,2001,,Kirikera 2,,,,,INC,,MPTC
B. Naganna,Hindupur,2001,,Kaggallu,,,,,TDP,,MPTC
Govindappa,Hindupur,2001,,Beerepalli,,,,,TDP,,MPTC
T Sunitha,Hindupur,2001,,Malgur,,,,,INC,,MPTC
Padmavathi,Hindupur,2001,,Katipi,,,,,TDP,,MPTC
K Sri Ramireddy,Hindupur,2001,,Beevinahalli,,,,,INC,,MPTC
Chinna Reddy,Hindupur,2001,,Dalampalli,,,,,TDP,,MPTC
K H Nanjunda Reddy,Hindupur,2001,,Chowluru,,,,,INC,,MPTC President
C Pedda Rajappa,Hindupur,2001,,Santhebidanur,,,,,INC,,MPTC
Eshwar Naik S,Kadiri,2001,,Yerradoddi,,,,,TDP,,MPTC
Maripe Narsimulu,Kadiri,2001,,Kalasamudram,,,,,INC,,MPTC
Muthanna Uthamma,Kadiri,2001,,Chalamakuntlapalli,,,,,INC,,MPTC
Burusu Laxmi Narayana,Kadiri,2001,,Patnam,,,,,INC,,MPTC
Boggiti Narsamma,Kadiri,2001,,K Brahmanapalli,,,,,INC,,MPTC
Bitra Ramalaxmamma,Kadiri,2001,,Kadiri Rural,,,,,TDP,,MPTC
Bogginti Nagamani,Kadiri,2001,,Eguvapalli,,,,,INC,,MPTC
Mude Ramana Naik,Kadiri,2001,,Mutyalacheruvu,,,,,TDP,,MPTC President
Sugalichatri Naik,Kalyandurg,2001,,Manirevu,,,,,INC,,MPTC
Haridana Hanumakka,Kalyandurg,2001,,Ontimiddi,,,,,IND,,MPTC
Harijanaramanna,Kalyandurg,2001,,Garudapuram,,,,,TDP,,MPTC
H.Ramanjuneyulu,Kalyandurg,2001,,Palavai,,,,,INC,,MPTC
Laxmidevamma,Kalyandurg,2001,,Kalyandugr 1,,,,,INC,,MPTC
Vadde Anjanamma,Kalyandurg,2001,,Kalyandurg 3,,,,,INC,,MPTC
Badenna B,Kalyandurg,2001,,Golla,,,,,TDP,,MPTC
S.Gopal,Kalyandurg,2001,,Mudigallu,,,,,INC,,MPTC
Hanumanthappa,Kalyandurg,2001,,Chapiri,,,,,INC,,MPTC
Venkatamma,Kalyandurg,2001,,Duradakunta,,,,,INC,,MPTC
S.Sujatha,Kalyandurg,2001,,Thimasamudram,,,,,INC,,MPTC
Nallabothula Ammanamma,Kalyandurg,2001,,Dodagatta,,,,,TDP,,MPTC
T.Vannurswamy,Kalyandurg,2001,,Kalyandurg 2,,,,,INC,,MPTC President
Amanullah,Kalyandurg,2001,,Kalyandurg 4,,,,,INC,,MPTC
K.Gopinath,Kalyandurg,2001,,Kalyandurg 5,,,,,INC,,MPTC
Laxmi Narayana B,Kalyandurg,2001,,Kalyandurg 6,,,,,INC,,MPTC
G.L.Harikrishna,Kalyandurg,2001,,East Kodipally,,,,,TDP,,MPTC
Bhtari Akkanna,Kalyandurg,2001,,Muddinayanipalli,,,,,INC,,MPTC
Kolakannur Thippe Swamy,Kalyandurg,2001,,Hilukallu,,,,,TDP,,MPTC
K Ganagadhara,Kambadur,2001,,Kambadur 3,,,,,INC,,MPTC
S Lakshmi Kanthamma,Kambadur,2001,,Ralla Ananthapuram,,,,,TDP,,MPTC
Naga Lakshmi,Kambadur,2001,,Karthanaparthi,,,,,IND,,MPTC President
A Nagamma,Kambadur,2001,,Kambadur 1,,,,,TDP,,MPTC
Ramanjinamma,Kambadur,2001,,Pallur,,,,,INC,,MPTC
B Akkulappa,Kambadur,2001,,Nuthimadugu,,,,,INC,,MPTC
K Kodeppa,Kambadur,2001,,Thimmapuram,,,,,INC,,MPTC
Aruna Kumari,Kambadur,2001,,Chennampalli,,,,,TDP,,MPTC
P Govinda Reddy,Kambadur,2001,,Mulakanur,,,,,INC,,MPTC
K Narasimhulu,Kambadur,2001,,Kurakulapalli,,,,,TDP,,MPTC
G Sree Ramulu,Kambadur,2001,,Kambadur 2,,,,,TDP,,MPTC
H Maruthamma,Kanaganapalli,2001,,Muthavakuntla,,,,,TDP,,MPTC
Mallesu,Kanaganapalli,2001,,Kondapuram,,,,,IND,,MPTC
Golla Narayanamma,Kanaganapalli,2001,,Yellakuntla,,,,,TDP,,MPTC
Thumucherla B Madhavappa,Kanaganapalli,2001,,Thumucherla,,,,,TDP,,MPTC
Balavenkatamma,Kanaganapalli,2001,,Bhanukota,,,,,TDP,,MPTC
Valamasi Papanna,Kanaganapalli,2001,,Kanaganapalli,,,,,TDP,,MPTC
M Varlakshmi,Kanaganapalli,2001,,Konetinayanipalyam,,,,,TDP,,MPTC
B Prabhakar,Kanaganapalli,2001,,Thogarakunta,,,,,TDP,,MPTC
Dontireddigari Bavireddy,Kanaganapalli,2001,,Dadalur,,,,,TDP,,MPTC President
Venkatapathi,Kanaganapalli,2001,,Mukthapuram,,,,,TDP,,MPTC
Laxmakka,Kanekal,2001,,Kanekal 4,,,,,TDP,,MPTC
H Anajaneyulu,Kanekal,2001,,Rachumarri,,,,,TDP,,MPTC
B Laxmi,Kanekal,2001,,Brahmasamudram,,,,,TDP,,MPTC
K Laxmi Devi,Kanekal,2001,,Kanekal 3,,,,,TDP,,MPTC
Boya Yerriswamy,Kanekal,2001,,Bennikal,,,,,TDP,,MPTC
Bheemappa,Kanekal,2001,,Hulikera,,,,,INC,,MPTC
Valem Hanumathappa,Kanekal,2001,,Thumbiganur,,,,,TDP,,MPTC
S K Parvathi,Kanekal,2001,,Hanakanahal,,,,,TDP,,MPTC President
Aleri Vijaya Laxmi,Kanekal,2001,,N Hanumapuram,,,,,INC,,MPTC
P Shviarami Reddy,Kanekal,2001,,Ganigera,,,,,INC,,MPTC
P Basavanna Goud,Kanekal,2001,,Malyam,,,,,INC,,MPTC
P Sanjeevi Reddy,Kanekal,2001,,Yerragunta,,,,,TDP,,MPTC
Sarvasetti Raghavendra Gupta,Kanekal,2001,,Kanekal 1,,,,,TDP,,MPTC
Shek Pathimabee,Kanekal,2001,,Kanekal 2,,,,,TDP,,MPTC
Harijana Pedda Narasimhulu,Kothacheruvu,2001,,Kothacheruvu 1,,,,,TDP,,MPTC
Asha Bee D,Kothacheruvu,2001,,Pothulakunta,,,,,TDP,,MPTC
Neeru Ganti Venkatesu,Kothacheruvu,2001,,Byrampuram,,,,,TDP,,MPTC
Kammara Akkulappa,Kothacheruvu,2001,,Kesapuram,,,,,TDP,,MPTC
Maneri Umadevi,Kothacheruvu,2001,,Kodapaganipalli,,,,,INC,,MPTC
Salakka Gari Vani,Kothacheruvu,2001,,Kothacheruvu 2,,,,,TDP,,MPTC President
Venkataramudu,Kothacheruvu,2001,,Bandlapalli,,,,,IND,,MPTC
M Bhasakara Reddy,Kothacheruvu,2001,,Talamarla,,,,,INC,,MPTC
