year,electedas,name,party,segment,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
1999,MLA Candidate,Srinivasa Gupta,ATDP,Rayadurg,,,,,,,,,,165763.0,805.0
1999,MLA Candidate,Nagaraju,IND,Rayadurg,,,,,,,,,,165763.0,1043.0
1999,MLA Candidate,Pujari Jitendrappa,TDP,Rayadurg,,,,,,,,,,165763.0,49851.0
1999,MLA,Patil Venugopal Reddy,INC,Rayadurg,,,,,,,,,,165763.0,59086.0
2004,MLA Candidate,Munnemm Somanath,IND,Rayadurg,,,,,,,,,,174956.0,2184.0
2004,MLA Candidate,R.Manjunatha,IND,Rayadurg,,,,,,,,,,174956.0,2832.0
2004,MLA Candidate,Patil Venugopal Reddy,INC,Rayadurg,,,,,,,,,,174956.0,56083.0
2004,MLA,Mettu Govinda Reddy,TDP,Rayadurg,,,,,,,,,,174956.0,66188.0
1989,MLA Candidate,Motappa,IND,Rayadurg,,,,,,,,,,139382.0,409.0
1989,MLA Candidate,Megya Naik,IND,Rayadurg,,,,,,,,,,139382.0,555.0
1989,MLA Candidate,Khasim Sab,IND,Rayadurg,,,,,,,,,,139382.0,858.0
1989,MLA Candidate,Kata Govindappa,TDP,Rayadurg,,,,,,,,,,139382.0,41000.0
1989,MLA,Patil Venugopal Reddy,INC,Rayadurg,,,,,,,,,,139382.0,47550.0
2009,MLA Candidate,C Nagaraju,PPOI,Rayadurg,,,,,,,,,,198167.0,776.0
2009,MLA Candidate,P Mohan,BHSASP,Rayadurg,,,,,,,,,,198167.0,885.0
2009,MLA Candidate,Andra Prasad,LSP,Rayadurg,,,,,,,,,,198167.0,1072.0
2009,MLA Candidate,Govinda Reddy,IND,Rayadurg,,,,,,,,,,198167.0,2164.0
2009,MLA Candidate,Palegaru Thippe Swamy,BJP,Rayadurg,,,,,,,,,,198167.0,2860.0
2009,MLA Candidate,Bosula Manohar,PRAP,Rayadurg,,,,,,,,,,198167.0,9670.0
2009,MLA Candidate,Mettu Govinda Reddy,TDP,Rayadurg,,,,,,,,,,198167.0,62168.0
2009,MLA,Kapu Ramachandra Reddy,INC,Rayadurg,,,,,,,,,,198167.0,76259.0
2014,MLA Candidate,U Ramachandra Reddy,IND,Rayadurg,,,,,,,,,,451720.0,366.0
2014,MLA Candidate,Amireddy Venkata Reddy,IND,Rayadurg,,,,,,,,,,451720.0,395.0
2014,MLA Candidate,K. Srinivasulu,IND,Rayadurg,,,,,,,,,,451720.0,397.0
2014,MLA Candidate,D. Shivakumar,PPOI,Rayadurg,,,,,,,,,,451720.0,449.0
2014,MLA Candidate,N. Srinivasulu,IND,Rayadurg,,,,,,,,,,451720.0,495.0
2014,MLA Candidate,B Venkata Ramana (Babu),LSP,Rayadurg,,,,,,,,,,451720.0,649.0
2014,MLA Candidate,Virupa Srinivasulu,IND,Rayadurg,,,,,,,,,,451720.0,767.0
2014,MLA Candidate,D. Yerriswamy Reddy,RPS,Rayadurg,,,,,,,,,,451720.0,947.0
