name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Basagari  Nagamma,Gudibanda,2001,,K Nagepalli,,,,,,INC,,,,,
D Manjunath,Gudibanda,2001,,Gudibanda 2,,,,,,INC,,,,,
K Purushotam,Gudibanda,2001,,Morubagal 1,,,,,,TDP,,,,,
Sulappa,Gudibanda,2001,,Mandalapalli,,,,,,INC,,,,,
Erranna,Gudibanda,2001,,Konkallu,,,,,,INC,,,,,
Marekka,Gummagatta,2001,,Tallakera 2,,,,,,INC,,,,,
Harijana Mareppa,Gummagatta,2001,,Kalugodu 2,,,,,,INC,,,,,
Obamma,Gummagatta,2001,,Gummagatla,,,,,,INC,,,,,
B.Yellappa,Gummagatta,2001,,Tallakera  1,,,,,,INC,,,,,
Govindappa,Gummagatta,2001,,Bhupasamudram,,,,,,TDP,,,,,
Matham Hanumanthappa,Gummagatta,2001,,Belodu,,,,,,INC,,,,,
Golla Kechamma,Gummagatta,2001,,Pulakunta,,,,,,INC,,,,,
Bali Reddi,Gummagatta,2001,,Kalugodu 1,,,,,,INC,,,,,
Raghava Reddi,Gummagatta,2001,,Galagala,,,,,,INC,,,,,
Thppe Rudrappa,Gummagatta,2001,,Gollapalli,,,,,,INC,,,,,
S Govindamma,Guntakal,2001,,Nelagonda,,,,,,INC,,,,,
M Nettikallu,Guntakal,2001,,Kasapuram,,,,,,TDP,,,,,
Sunkamma,Guntakal,2001,,Konaganapalli,,,,,,TDP,,,,,
B T Mastanappa,Guntakal,2001,,Y T Cheruvu,,,,,,TDP,,,,,
J Jithendra Gowd,Guntakal,2001,,Nakkanadoddi,,,,,,TDP,,,,,
Gorava Pedda Mallesu,Guntakal,2001,,Gurrampadu,,,,,,INC,,,,,
Thota Lakshmi Devi,Guntakal,2001,,Gundala,,,,,,TDP,,,,,
B Sarala,Guntakal,2001,,G Kottala,,,,,,TDP,,,,,
K Naga Raju,Guntakal,2001,,P K Cheruvu,,,,,,TDP,,,,,
